*ContactName,POAddressLine1,POAddressLine2,POAddressLine3,POAddressLine4,POCity,PORegion,POPostalCode,POCountry,*InvoiceNumber,Reference,*InvoiceDate,*DueDate,Total,InventoryItemCode,*Description,*Quantity,*UnitAmount,Discount,*AccountCode,*TaxType,TaxAmount,TrackingName1,*TrackingOption1,TrackingName2,TrackingOption2,Currency
Energy Sales Tigo Cash ,,,,,,,,,TIGO INV-20181201,55a1e8650e700080050725d953f8bd1235b75c2f,13/11/18,13/11/18,,,"Energy sales,TC, From 114446",1,500,,P&L 1.1,Sale Exempt (0%),,,,SITES,kuri-kane1,
Energy Sales Tigo Cash ,,,,,,,,,TIGO INV-20181201,9079c6dd7b1fd2c7b8e40898c3aa76f7ac284fe6,14/11/18,14/11/18,,,"Energy sales,TC, From 175379",1,"1,000",,P&L 1.1,Sale Exempt (0%),,,,SITES,karumbya1,
Energy Sales Tigo Cash ,,,,,,,,,TIGO INV-20181201,7231c79b6d990f3104efc5b2a1d6778f9c5751c7,14/11/18,14/11/18,,,"Energy sales,TC, From 111740",1,500,,P&L 1.1,Sale Exempt (0%),,,,SITES,ruhuha1,
Energy Sales Tigo Cash ,,,,,,,,,TIGO INV-20181201,6b62d98d64950f0cc856e3d9df26ae276d904712,14/11/18,14/11/18,,,"Energy sales,TC, From 175641",1,"1,000",,P&L 1.1,Sale Exempt (0%),,,,SITES,giturusu1,
Energy Sales Tigo Cash ,,,,,,,,,TIGO INV-20181201,61141243d3b185d66f0a3875de9b99754e388303,14/11/18,14/11/18,,,"Energy sales,TC, From 129562",1,"1,000",,P&L 1.1,Sale Exempt (0%),,,,SITES,ngara1,
Energy Sales Tigo Cash ,,,,,,,,,TIGO INV-20181201,b0e133aedf869b4dc15c9503310e0cf55ad3e0ed,14/11/18,14/11/18,,,"Energy sales,TC, From 307471",1,500,,P&L 1.1,Sale Exempt (0%),,,,SITES,ngara1,
Energy Sales Tigo Cash ,,,,,,,,,TIGO INV-20181201,a66e806253cd2da595305bcff7ea453e2c372db0,14/11/18,14/11/18,,,"Energy sales,TC, From 168084",1,500,,P&L 1.1,Sale Exempt (0%),,,,SITES,uruyenzi1,
Energy Sales Tigo Cash ,,,,,,,,,TIGO INV-20181201,81c2e3972c8987d62b30de0154860e25180353d8,14/11/18,14/11/18,,,"Energy sales,TC, From 541828",1,"1,200",,P&L 1.1,Sale Exempt (0%),,,,SITES,nunga1,
Energy Sales Tigo Cash ,,,,,,,,,TIGO INV-20181201,24d425a9d276c61afd09ce1f8f67771c450a029a,14/11/18,14/11/18,,,"Energy sales,TC, From 171105",1,500,,P&L 1.1,Sale Exempt (0%),,,,SITES,ngara1,
Energy Sales Tigo Cash ,,,,,,,,,TIGO INV-20181201,7f7cfe258c5d8babc4443e3de040e395888ebc15,14/11/18,14/11/18,,,"Energy sales,TC, From 129326",1,500,,P&L 1.1,Sale Exempt (0%),,,,SITES,karumbya1,
